size,scoreNN,scoreFI,scoreTORP,scoreTONN,scoreTOFI,scoreTSRP,scoreTSNN,scoreTSFI
10,0.0,-9.010050473987818,-9.265963885348356,-9.350300099831223,"[-9.365238276653013, -14.100545425959456, -14.15083705809174, -14.008870949705793, -14.045366665561822, -14.581858623259286, -14.041672961563988, -14.701067777764054, -14.65575170188569, -14.58277886322732, -14.169810392672936]","[-19.07493874313478, -29.965522362399746, -29.3691999428589, -28.730449031528334, -29.09138847193659, -30.47607606580974, -29.66483611958582, -31.276577132640906, -30.729051953496867, -31.212672679499818, -29.723749531181237]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-9.53746937156738, -15.194792383674649, -15.193229438435887, -14.823709072493696, -14.83670811715708, -15.20393369297089, -14.526413933157517, -15.291538915245464, -14.894330575595925, -14.945340666530626, -14.326417890402427]"
20,0.0,-13.480322266768002,-13.303474307551477,-14.49127600418206,"[-9.365238276653013, -14.100545425959456, -14.15083705809174, -14.008870949705793, -14.045366665561822, -14.581858623259286, -14.041672961563988, -14.701067777764054, -14.65575170188569, -14.58277886322732, -14.169810392672936]","[-19.07493874313478, -29.965522362399746, -29.3691999428589, -28.730449031528334, -29.09138847193659, -30.47607606580974, -29.66483611958582, -31.276577132640906, -30.729051953496867, -31.212672679499818, -29.723749531181237]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-9.53746937156738, -15.194792383674649, -15.193229438435887, -14.823709072493696, -14.83670811715708, -15.20393369297089, -14.526413933157517, -15.291538915245464, -14.894330575595925, -14.945340666530626, -14.326417890402427]"
30,0.0,-13.555750691312326,-12.910365952143437,-14.345612455147984,"[-9.365238276653013, -14.100545425959456, -14.15083705809174, -14.008870949705793, -14.045366665561822, -14.581858623259286, -14.041672961563988, -14.701067777764054, -14.65575170188569, -14.58277886322732, -14.169810392672936]","[-19.07493874313478, -29.965522362399746, -29.3691999428589, -28.730449031528334, -29.09138847193659, -30.47607606580974, -29.66483611958582, -31.276577132640906, -30.729051953496867, -31.212672679499818, -29.723749531181237]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-9.53746937156738, -15.194792383674649, -15.193229438435887, -14.823709072493696, -14.83670811715708, -15.20393369297089, -14.526413933157517, -15.291538915245464, -14.894330575595925, -14.945340666530626, -14.326417890402427]"
40,0.0,-12.984555689996357,-12.425039054910824,-14.507222254396726,"[-9.365238276653013, -14.100545425959456, -14.15083705809174, -14.008870949705793, -14.045366665561822, -14.581858623259286, -14.041672961563988, -14.701067777764054, -14.65575170188569, -14.58277886322732, -14.169810392672936]","[-19.07493874313478, -29.965522362399746, -29.3691999428589, -28.730449031528334, -29.09138847193659, -30.47607606580974, -29.66483611958582, -31.276577132640906, -30.729051953496867, -31.212672679499818, -29.723749531181237]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-9.53746937156738, -15.194792383674649, -15.193229438435887, -14.823709072493696, -14.83670811715708, -15.20393369297089, -14.526413933157517, -15.291538915245464, -14.894330575595925, -14.945340666530626, -14.326417890402427]"
50,0.0,-13.162950080482606,-12.792868205097072,-14.707275844501089,"[-9.365238276653013, -14.100545425959456, -14.15083705809174, -14.008870949705793, -14.045366665561822, -14.581858623259286, -14.041672961563988, -14.701067777764054, -14.65575170188569, -14.58277886322732, -14.169810392672936]","[-19.07493874313478, -29.965522362399746, -29.3691999428589, -28.730449031528334, -29.09138847193659, -30.47607606580974, -29.66483611958582, -31.276577132640906, -30.729051953496867, -31.212672679499818, -29.723749531181237]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-9.53746937156738, -15.194792383674649, -15.193229438435887, -14.823709072493696, -14.83670811715708, -15.20393369297089, -14.526413933157517, -15.291538915245464, -14.894330575595925, -14.945340666530626, -14.326417890402427]"
60,0.0,-13.378356938230443,-13.24805976057627,-15.53431404307682,"[-9.365238276653013, -14.100545425959456, -14.15083705809174, -14.008870949705793, -14.045366665561822, -14.581858623259286, -14.041672961563988, -14.701067777764054, -14.65575170188569, -14.58277886322732, -14.169810392672936]","[-19.07493874313478, -29.965522362399746, -29.3691999428589, -28.730449031528334, -29.09138847193659, -30.47607606580974, -29.66483611958582, -31.276577132640906, -30.729051953496867, -31.212672679499818, -29.723749531181237]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-9.53746937156738, -15.194792383674649, -15.193229438435887, -14.823709072493696, -14.83670811715708, -15.20393369297089, -14.526413933157517, -15.291538915245464, -14.894330575595925, -14.945340666530626, -14.326417890402427]"
70,0.0,-13.354090458027063,-12.964449633200047,-15.525200479286706,"[-9.365238276653013, -14.100545425959456, -14.15083705809174, -14.008870949705793, -14.045366665561822, -14.581858623259286, -14.041672961563988, -14.701067777764054, -14.65575170188569, -14.58277886322732, -14.169810392672936]","[-19.07493874313478, -29.965522362399746, -29.3691999428589, -28.730449031528334, -29.09138847193659, -30.47607606580974, -29.66483611958582, -31.276577132640906, -30.729051953496867, -31.212672679499818, -29.723749531181237]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-9.53746937156738, -15.194792383674649, -15.193229438435887, -14.823709072493696, -14.83670811715708, -15.20393369297089, -14.526413933157517, -15.291538915245464, -14.894330575595925, -14.945340666530626, -14.326417890402427]"
80,0.0,-13.846008473222298,-13.814764037451328,-16.437940977315755,"[-9.365238276653013, -14.100545425959456, -14.15083705809174, -14.008870949705793, -14.045366665561822, -14.581858623259286, -14.041672961563988, -14.701067777764054, -14.65575170188569, -14.58277886322732, -14.169810392672936]","[-19.07493874313478, -29.965522362399746, -29.3691999428589, -28.730449031528334, -29.09138847193659, -30.47607606580974, -29.66483611958582, -31.276577132640906, -30.729051953496867, -31.212672679499818, -29.723749531181237]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-9.53746937156738, -15.194792383674649, -15.193229438435887, -14.823709072493696, -14.83670811715708, -15.20393369297089, -14.526413933157517, -15.291538915245464, -14.894330575595925, -14.945340666530626, -14.326417890402427]"
90,0.0,-13.79444978655486,-13.799755233247621,-16.070827842315783,"[-9.365238276653013, -14.100545425959456, -14.15083705809174, -14.008870949705793, -14.045366665561822, -14.581858623259286, -14.041672961563988, -14.701067777764054, -14.65575170188569, -14.58277886322732, -14.169810392672936]","[-19.07493874313478, -29.965522362399746, -29.3691999428589, -28.730449031528334, -29.09138847193659, -30.47607606580974, -29.66483611958582, -31.276577132640906, -30.729051953496867, -31.212672679499818, -29.723749531181237]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-9.53746937156738, -15.194792383674649, -15.193229438435887, -14.823709072493696, -14.83670811715708, -15.20393369297089, -14.526413933157517, -15.291538915245464, -14.894330575595925, -14.945340666530626, -14.326417890402427]"
100,0.0,-13.73839049562854,-14.171038213916125,-16.313262027752714,"[-9.365238276653013, -14.100545425959456, -14.15083705809174, -14.008870949705793, -14.045366665561822, -14.581858623259286, -14.041672961563988, -14.701067777764054, -14.65575170188569, -14.58277886322732, -14.169810392672936]","[-19.07493874313478, -29.965522362399746, -29.3691999428589, -28.730449031528334, -29.09138847193659, -30.47607606580974, -29.66483611958582, -31.276577132640906, -30.729051953496867, -31.212672679499818, -29.723749531181237]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-9.53746937156738, -15.194792383674649, -15.193229438435887, -14.823709072493696, -14.83670811715708, -15.20393369297089, -14.526413933157517, -15.291538915245464, -14.894330575595925, -14.945340666530626, -14.326417890402427]"
